Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Clara County,2021,July,07/01/2021,42000000,Retail Trade,N,73300
County,Santa Clara County,2021,July,07/01/2021,32000000,Nondurable Goods,N,11800
County,Santa Clara County,2021,July,07/01/2021,65620000,Health Care and Social Assistance,N,133600
County,Santa Clara County,2021,July,07/01/2021,60560000,Administrative and Support and Waste Ser,N,61700
County,Santa Clara County,2021,July,07/01/2021,70000000,Leisure and Hospitality,N,84300
County,Santa Clara County,2021,July,07/01/2021,65000000,Educational and Health Services,N,175300
County,Santa Clara County,2021,July,07/01/2021,90910000,Federal Government,N,10400
County,Santa Clara County,2021,July,07/01/2021,90930000,Local Government,N,69000
County,Santa Clara County,2021,July,07/01/2021,11000000,Total Farm,N,3200
County,Santa Clara County,2021,July,07/01/2021,55000000,Financial Activities,N,38400
County,Santa Clara County,2021,July,07/01/2021,7000000,Service Providing,N,875400
County,Santa Clara County,2021,July,07/01/2021,40000000,"Trade, Transportation and Utilities",N,116800
County,Santa Clara County,2021,July,07/01/2021,90000000,Government,N,85500
County,Santa Clara County,2021,July,07/01/2021,65610000,Educational Services,N,41700
County,Santa Clara County,2021,July,07/01/2021,60540000,"Professional, Scientific and Technical S",N,169100
County,Santa Clara County,2021,July,07/01/2021,55530000,Real Estate and Rental and Leasing,N,14800
County,Santa Clara County,2021,July,07/01/2021,60000000,Professional and Business Services,N,244600
County,Santa Clara County,2021,July,07/01/2021,31000000,Durable Goods,N,155700
County,Santa Clara County,2021,July,07/01/2021,20000000,Construction,N,50900
County,Santa Clara County,2021,July,07/01/2021,1000000,Total Wage and Salary,N,1097200
County,Santa Clara County,2021,July,07/01/2021,0,Total Nonfarm,N,1094000
County,Santa Clara County,2021,July,07/01/2021,30000000,Manufacturing,N,167500
County,Santa Clara County,2021,July,07/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,July,07/01/2021,41000000,Wholesale Trade,N,27900
County,Santa Clara County,2021,July,07/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,15600
County,Santa Clara County,2021,July,07/01/2021,55520000,Finance and Insurance,N,23600
County,Santa Clara County,2021,July,07/01/2021,60550000,Management of Companies and Enterprises,N,13800
County,Santa Clara County,2021,July,07/01/2021,90920000,State Government,N,6100
County,Santa Clara County,2021,August,08/01/2021,80000000,Other Services,N,23100
County,Santa Clara County,2021,August,08/01/2021,6000000,Goods Producing,N,219400
County,Santa Clara County,2021,August,08/01/2021,32000000,Nondurable Goods,N,11900
County,Santa Clara County,2021,August,08/01/2021,42000000,Retail Trade,N,73100
County,Santa Clara County,2021,August,08/01/2021,50000000,Information,N,107800
County,Santa Clara County,2021,August,08/01/2021,65000000,Educational and Health Services,N,176000
County,Santa Clara County,2021,August,08/01/2021,70000000,Leisure and Hospitality,N,86300
County,Santa Clara County,2021,August,08/01/2021,60560000,Administrative and Support and Waste Ser,N,62200
County,Santa Clara County,2021,August,08/01/2021,65620000,Health Care and Social Assistance,N,133800
County,Santa Clara County,2021,August,08/01/2021,90910000,Federal Government,N,10300
County,Santa Clara County,2021,August,08/01/2021,90930000,Local Government,N,73800
County,Santa Clara County,2021,August,08/01/2021,11000000,Total Farm,N,3100
County,Santa Clara County,2021,August,08/01/2021,7000000,Service Providing,N,883700
